node1,node2
188.0,390.0
188.0,633.0
188.0,669.0
237.0,406.0
237.0,748.0
237.0,693.0
209.0,500.0
281.0,294.0
123.0,338.0
78.0,430.0
116.0,432.0
262.0,753.0
262.0,292.0
262.0,429.0
262.0,628.0
262.0,401.0
262.0,689.0
262.0,619.0
231.0,753.0
231.0,292.0
231.0,429.0
231.0,628.0
231.0,401.0
231.0,689.0
231.0,619.0
189.0,582.0
189.0,513.0
276.0,513.0
276.0,783.0
188.0,440.0
188.0,783.0
188.0,711.0
208.0,484.0
208.0,530.0
208.0,777.0
208.0,526.0
208.0,762.0
58.0,600.0
209.0,657.0
54.0,303.0
223.0,303.0
179.0,303.0
79.0,697.0
79.0,685.0
79.0,593.0
79.0,756.0
215.0,475.0
215.0,452.0
215.0,383.0
215.0,289.0
215.0,468.0
215.0,585.0
39.0,430.0
276.0,387.0
276.0,637.0
209.0,538.0
53.0,477.0
105.0,600.0
58.0,496.0
99.0,678.0
209.0,557.0
47.0,624.0
280.0,766.0
47.0,790.0
58.0,704.0
58.0,774.0
58.0,289.0
78.0,754.0
45.0,450.0
56.0,399.0
121.0,663.0
121.0,783.0
105.0,621.0
64.0,450.0
58.0,631.0
58.0,752.0
47.0,289.0
105.0,763.0
209.0,461.0
45.0,470.0
105.0,292.0
29.0,768.0
29.0,449.0
29.0,545.0
29.0,383.0
29.0,484.0
29.0,532.0
29.0,408.0
29.0,475.0
39.0,305.0
83.0,388.0
186.0,571.0
199.0,380.0
45.0,457.0
58.0,383.0
280.0,441.0
7.0,643.0
80.0,360.0
105.0,342.0
58.0,305.0
58.0,557.0
104.0,304.0
58.0,601.0
47.0,295.0
205.0,284.0
205.0,432.0
209.0,766.0
78.0,782.0
257.0,528.0
254.0,463.0
254.0,756.0
254.0,745.0
254.0,290.0
254.0,308.0
55.0,660.0
55.0,770.0
58.0,538.0
45.0,600.0
45.0,340.0
58.0,424.0
165.0,466.0
122.0,581.0
58.0,512.0
59.0,477.0
209.0,411.0
140.0,307.0
78.0,610.0
78.0,495.0
78.0,427.0
78.0,484.0
78.0,517.0
268.0,784.0
58.0,745.0
17.0,504.0
58.0,581.0
200.0,528.0
169.0,528.0
58.0,784.0
53.0,744.0
105.0,392.0
209.0,342.0
58.0,697.0
224.0,297.0
58.0,468.0
0.0,484.0
58.0,624.0
209.0,727.0
58.0,780.0
258.0,766.0
133.0,376.0
173.0,376.0
280.0,536.0
105.0,486.0
280.0,576.0
209.0,290.0
209.0,454.0
209.0,380.0
239.0,414.0
198.0,769.0
198.0,600.0
198.0,367.0
29.0,769.0
29.0,600.0
29.0,367.0
37.0,348.0
78.0,765.0
105.0,645.0
209.0,338.0
45.0,725.0
45.0,548.0
209.0,683.0
45.0,358.0
45.0,520.0
10.0,552.0
47.0,788.0
56.0,737.0
45.0,689.0
45.0,619.0
45.0,620.0
45.0,429.0
45.0,628.0
45.0,401.0
45.0,499.0
277.0,689.0
277.0,619.0
277.0,620.0
277.0,292.0
277.0,293.0
277.0,429.0
277.0,628.0
277.0,520.0
277.0,401.0
277.0,499.0
240.0,443.0
240.0,313.0
249.0,346.0
280.0,402.0
58.0,440.0
47.0,375.0
143.0,528.0
267.0,295.0
267.0,373.0
28.0,514.0
174.0,745.0
174.0,339.0
174.0,575.0
95.0,793.0
176.0,528.0
39.0,645.0
39.0,573.0
39.0,754.0
39.0,456.0
39.0,424.0
222.0,650.0
222.0,428.0
222.0,410.0
222.0,386.0
222.0,581.0
222.0,578.0
222.0,457.0
222.0,750.0
222.0,585.0
222.0,464.0
222.0,677.0
113.0,682.0
113.0,380.0
30.0,775.0
159.0,297.0
192.0,731.0
78.0,473.0
78.0,702.0
256.0,789.0
209.0,494.0
209.0,646.0
209.0,763.0
209.0,704.0
209.0,746.0
209.0,742.0
209.0,574.0
209.0,296.0
156.0,657.0
156.0,557.0
156.0,693.0
51.0,694.0
51.0,475.0
257.0,790.0
257.0,393.0
257.0,507.0
89.0,497.0
