node1,node2
55.0,314.0
27.0,383.0
83.0,539.0
9.0,361.0
140.0,514.0
228.0,774.0
29.0,415.0
29.0,375.0
248.0,466.0
248.0,440.0
248.0,784.0
64.0,463.0
196.0,643.0
45.0,605.0
45.0,354.0
45.0,475.0
45.0,372.0
56.0,742.0
47.0,420.0
47.0,383.0
47.0,798.0
47.0,297.0
47.0,589.0
47.0,690.0
47.0,513.0
147.0,430.0
147.0,489.0
119.0,477.0
119.0,716.0
119.0,744.0
119.0,756.0
119.0,745.0
232.0,752.0
136.0,803.0
136.0,555.0
271.0,732.0
125.0,452.0
125.0,342.0
209.0,776.0
95.0,600.0
39.0,481.0
78.0,285.0
239.0,618.0
209.0,741.0
209.0,575.0
280.0,342.0
280.0,289.0
280.0,286.0
280.0,526.0
280.0,521.0
280.0,664.0
90.0,737.0
105.0,786.0
45.0,513.0
45.0,729.0
45.0,501.0
47.0,667.0
47.0,687.0
47.0,331.0
47.0,774.0
47.0,393.0
209.0,298.0
209.0,544.0
209.0,436.0
209.0,433.0
209.0,550.0
209.0,430.0
209.0,728.0
102.0,367.0
257.0,680.0
257.0,602.0
257.0,518.0
282.0,518.0
20.0,367.0
264.0,367.0
58.0,449.0
58.0,401.0
58.0,411.0
257.0,287.0
255.0,299.0
58.0,542.0
58.0,795.0
58.0,433.0
105.0,596.0
105.0,387.0
105.0,290.0
105.0,593.0
105.0,338.0
105.0,520.0
105.0,370.0
217.0,638.0
38.0,647.0
236.0,439.0
83.0,732.0
83.0,790.0
129.0,400.0
140.0,520.0
148.0,698.0
280.0,358.0
58.0,539.0
43.0,340.0
45.0,559.0
183.0,791.0
64.0,412.0
267.0,361.0
105.0,442.0
27.0,768.0
209.0,581.0
207.0,704.0
239.0,384.0
248.0,365.0
196.0,691.0
181.0,304.0
260.0,529.0
9.0,396.0
222.0,336.0
83.0,458.0
121.0,358.0
78.0,760.0
105.0,314.0
280.0,801.0
193.0,744.0
135.0,460.0
172.0,379.0
207.0,320.0
207.0,797.0
260.0,623.0
260.0,609.0
260.0,611.0
260.0,692.0
260.0,431.0
260.0,398.0
260.0,385.0
260.0,509.0
238.0,590.0
238.0,458.0
238.0,459.0
238.0,487.0
238.0,652.0
69.0,553.0
207.0,611.0
207.0,710.0
207.0,516.0
207.0,374.0
144.0,614.0
144.0,348.0
260.0,516.0
157.0,717.0
57.0,621.0
45.0,794.0
209.0,579.0
209.0,772.0
105.0,722.0
105.0,358.0
105.0,527.0
280.0,512.0
86.0,460.0
222.0,342.0
222.0,443.0
222.0,452.0
156.0,554.0
120.0,550.0
247.0,496.0
267.0,700.0
18.0,745.0
58.0,693.0
121.0,701.0
106.0,786.0
53.0,400.0
53.0,645.0
113.0,371.0
27.0,393.0
47.0,641.0
83.0,749.0
184.0,305.0
47.0,354.0
51.0,731.0
260.0,443.0
209.0,788.0
51.0,529.0
82.0,322.0
45.0,407.0
86.0,454.0
259.0,776.0
64.0,759.0
132.0,732.0
241.0,497.0
3.0,704.0
39.0,358.0
207.0,539.0
86.0,358.0
239.0,780.0
78.0,724.0
121.0,704.0
280.0,349.0
9.0,651.0
190.0,316.0
121.0,606.0
280.0,469.0
153.0,430.0
166.0,310.0
280.0,631.0
80.0,455.0
96.0,519.0
57.0,362.0
33.0,640.0
106.0,720.0
72.0,513.0
238.0,586.0
238.0,372.0
280.0,496.0
47.0,772.0
103.0,291.0
154.0,448.0
233.0,752.0
196.0,443.0
84.0,471.0
105.0,584.0
249.0,730.0
39.0,365.0
180.0,527.0
5.0,718.0
242.0,492.0
88.0,329.0
280.0,740.0
226.0,537.0
229.0,367.0
105.0,673.0
64.0,336.0
134.0,356.0
119.0,801.0
53.0,644.0
119.0,564.0
45.0,793.0
280.0,354.0
178.0,330.0
199.0,741.0
180.0,515.0
47.0,344.0
201.0,476.0
51.0,732.0
45.0,369.0
197.0,364.0
153.0,425.0
151.0,578.0
225.0,561.0
64.0,779.0
222.0,583.0
45.0,585.0
73.0,421.0
108.0,755.0
58.0,574.0
3.0,324.0
3.0,675.0
218.0,776.0
45.0,594.0
47.0,335.0
45.0,615.0
280.0,476.0
21.0,717.0
207.0,466.0
34.0,459.0
48.0,708.0
280.0,682.0
216.0,457.0
78.0,312.0
45.0,596.0
280.0,531.0
280.0,341.0
78.0,499.0
245.0,303.0
48.0,655.0
257.0,599.0
121.0,718.0
207.0,435.0
125.0,781.0
91.0,629.0
280.0,361.0
83.0,540.0
280.0,608.0
35.0,340.0
45.0,567.0
202.0,691.0
21.0,419.0
9.0,347.0
45.0,480.0
159.0,500.0
244.0,488.0
45.0,437.0
55.0,543.0
105.0,686.0
62.0,494.0
53.0,288.0
195.0,640.0
105.0,506.0
78.0,799.0
27.0,458.0
167.0,417.0
58.0,510.0
78.0,557.0
22.0,498.0
272.0,311.0
33.0,523.0
119.0,352.0
121.0,649.0
27.0,603.0
209.0,628.0
100.0,292.0
60.0,361.0
282.0,317.0
27.0,316.0
253.0,400.0
78.0,712.0
58.0,802.0
78.0,302.0
61.0,377.0
58.0,524.0
132.0,568.0
280.0,575.0
4.0,589.0
160.0,403.0
280.0,364.0
121.0,416.0
280.0,797.0
55.0,698.0
47.0,500.0
280.0,345.0
209.0,546.0
44.0,643.0
58.0,592.0
110.0,596.0
62.0,362.0
175.0,596.0
141.0,502.0
109.0,688.0
157.0,288.0
58.0,556.0
130.0,751.0
207.0,736.0
83.0,607.0
158.0,704.0
190.0,343.0
78.0,435.0
177.0,562.0
101.0,508.0
36.0,681.0
105.0,560.0
105.0,345.0
53.0,581.0
207.0,353.0
201.0,741.0
204.0,787.0
55.0,706.0
59.0,774.0
121.0,470.0
210.0,355.0
46.0,682.0
152.0,375.0
105.0,607.0
172.0,540.0
248.0,519.0
80.0,479.0
168.0,741.0
51.0,438.0
184.0,698.0
40.0,485.0
78.0,629.0
64.0,435.0
271.0,514.0
116.0,747.0
58.0,467.0
55.0,382.0
45.0,759.0
86.0,397.0
137.0,705.0
121.0,380.0
280.0,720.0
219.0,351.0
111.0,686.0
172.0,314.0
253.0,486.0
203.0,735.0
51.0,373.0
121.0,418.0
238.0,400.0
250.0,562.0
196.0,303.0
269.0,414.0
138.0,324.0
150.0,502.0
212.0,581.0
51.0,502.0
45.0,423.0
280.0,304.0
83.0,620.0
151.0,443.0
254.0,460.0
159.0,659.0
239.0,422.0
101.0,514.0
246.0,381.0
280.0,613.0
105.0,340.0
170.0,764.0
170.0,750.0
170.0,322.0
211.0,332.0
2.0,626.0
77.0,589.0
128.0,474.0
145.0,643.0
206.0,517.0
51.0,321.0
9.0,478.0
121.0,797.0
116.0,361.0
222.0,476.0
177.0,477.0
83.0,572.0
126.0,340.0
105.0,772.0
58.0,642.0
58.0,747.0
75.0,672.0
222.0,566.0
182.0,560.0
271.0,684.0
261.0,700.0
125.0,393.0
172.0,591.0
172.0,718.0
15.0,715.0
13.0,399.0
194.0,404.0
283.0,464.0
57.0,614.0
177.0,413.0
177.0,580.0
76.0,658.0
63.0,507.0
63.0,614.0
70.0,314.0
153.0,300.0
58.0,738.0
274.0,363.0
278.0,294.0
251.0,468.0
280.0,667.0
280.0,426.0
280.0,595.0
280.0,607.0
280.0,365.0
115.0,503.0
207.0,739.0
235.0,743.0
221.0,407.0
252.0,788.0
93.0,420.0
27.0,581.0
6.0,801.0
211.0,640.0
35.0,663.0
98.0,648.0
45.0,587.0
45.0,395.0
45.0,783.0
47.0,476.0
171.0,511.0
265.0,337.0
59.0,483.0
280.0,502.0
254.0,457.0
47.0,323.0
47.0,578.0
45.0,749.0
196.0,507.0
196.0,785.0
88.0,364.0
88.0,707.0
64.0,434.0
9.0,647.0
83.0,318.0
83.0,435.0
27.0,632.0
85.0,672.0
85.0,496.0
162.0,447.0
162.0,642.0
213.0,463.0
207.0,319.0
207.0,557.0
207.0,752.0
207.0,357.0
65.0,619.0
280.0,391.0
280.0,727.0
280.0,477.0
280.0,333.0
280.0,334.0
280.0,767.0
146.0,394.0
19.0,713.0
273.0,354.0
224.0,778.0
105.0,792.0
132.0,354.0
58.0,453.0
58.0,723.0
21.0,294.0
131.0,349.0
11.0,709.0
94.0,627.0
71.0,758.0
141.0,541.0
49.0,719.0
163.0,395.0
92.0,772.0
51.0,638.0
51.0,574.0
51.0,311.0
193.0,522.0
193.0,445.0
191.0,366.0
172.0,362.0
172.0,521.0
238.0,353.0
222.0,663.0
222.0,676.0
222.0,340.0
275.0,285.0
218.0,621.0
218.0,326.0
1.0,736.0
8.0,647.0
26.0,333.0
185.0,563.0
12.0,638.0
3.0,793.0
187.0,547.0
66.0,621.0
95.0,585.0
176.0,635.0
176.0,630.0
112.0,631.0
39.0,412.0
39.0,759.0
106.0,562.0
106.0,721.0
106.0,314.0
14.0,631.0
275.0,416.0
222.0,757.0
222.0,653.0
182.0,314.0
113.0,318.0
238.0,308.0
238.0,763.0
50.0,359.0
184.0,460.0
243.0,306.0
172.0,661.0
172.0,569.0
30.0,372.0
159.0,514.0
161.0,360.0
78.0,491.0
78.0,493.0
78.0,798.0
78.0,766.0
227.0,322.0
41.0,433.0
23.0,617.0
209.0,752.0
52.0,792.0
67.0,324.0
156.0,508.0
244.0,417.0
244.0,791.0
244.0,588.0
51.0,534.0
51.0,583.0
51.0,496.0
51.0,581.0
51.0,672.0
181.0,558.0
181.0,699.0
181.0,666.0
180.0,634.0
180.0,665.0
175.0,376.0
157.0,663.0
282.0,695.0
282.0,653.0
120.0,324.0
164.0,435.0
164.0,580.0
151.0,353.0
151.0,477.0
149.0,350.0
234.0,751.0
74.0,296.0
74.0,797.0
57.0,465.0
57.0,405.0
57.0,501.0
86.0,341.0
86.0,371.0
142.0,696.0
214.0,578.0
214.0,733.0
80.0,780.0
80.0,379.0
16.0,581.0
16.0,533.0
141.0,348.0
155.0,498.0
107.0,720.0
87.0,752.0
94.0,328.0
84.0,319.0
153.0,625.0
68.0,589.0
42.0,734.0
42.0,718.0
58.0,648.0
58.0,674.0
58.0,400.0
58.0,476.0
58.0,607.0
58.0,562.0
58.0,761.0
58.0,788.0
58.0,618.0
58.0,682.0
58.0,375.0
58.0,308.0
58.0,322.0
58.0,703.0
58.0,570.0
58.0,412.0
132.0,671.0
105.0,406.0
105.0,444.0
105.0,800.0
105.0,803.0
105.0,752.0
105.0,614.0
105.0,598.0
62.0,320.0
53.0,726.0
53.0,690.0
53.0,715.0
53.0,740.0
53.0,356.0
53.0,551.0
53.0,525.0
53.0,579.0
230.0,409.0
