index,rna
355,miR-508-3p
356,miR-342-3p
357,miR-30c-5p
358,miR-9-5p
359,miR-497
360,miR-422a
361,miR-182-5p
362,miR-497-5p
363,miR-375-3p
364,miR-324-5p
365,miR-31-5p
366,miR-4530
367,miR-125b
368,miR-125a
369,miR-29c-3p
370,miR-29
371,miR-3619-5p
372,miR-381
373,miR-223-3p
374,miR-1197
375,miR-216b
376,miR-29a-3p
377,miR-580-3p
378,miR-509
379,miR-153-3p
380,miR-330-5p
381,miR-523-5p
382,miR-516a-5p
383,miR-203
384,miR-661
385,hsa-let-7e-5p
386,miR-1-3p
387,miR-185
388,miR-98
389,miR-122-5p
390,miR-491
391,miR-140
392,miR-181b
393,miR-193a-3p
394,miR-493-3p
395,miR-494-3p
396,miR-485
397,miR-379-5p
398,hsa-let-7i-5p
399,miR-211-3p
400,miR-149-5p
401,miR-26b
402,miR-449b-5p
403,miR-137-3p
404,miR-376a-3p
405,miR-890
406,miR-216a
407,miR-498
408,miR-23
409,let-7c-5p
410,miR-33b-5p
411,miR-1
412,miR-194-5p
413,miR-1306
414,miR-30b-5p
415,let-7
416,miR-125b-5p
417,miR-374a-3p
418,miR-298
419,miR-339-5p
420,miR-184
421,miR-373-3p
422,miR-363
423,miR-320c
424,miR-183
425,miR-708-5p
426,miR-139
427,miR-3200-3p
428,miR-33a-5p
429,miR-20a
430,miR-21
431,hsa-let-7d-5p
432,miR-489
433,miR-205
434,miR-654-3p
435,miR-128-3p
436,miR-193a
437,miR-187-3p
438,miR-134
439,miR-19b-3p
440,miR-133a
441,miR-181d-5p
442,miR-302a-3p
443,miR-320a
444,miR-4513
445,miR-520g
446,miR-370
447,miR-132
448,miR-183-5p
449,miR-448
450,miR-142
451,miR-3130-3p
452,miR-199a
453,miR-188-5p
454,miR-214-3p
455,miR-134-5p
456,miR-18a-5p
457,miR-335-5p
458,miR-124-3p
459,miR-1224-5p
460,miR-186-5p
461,miR-19
462,miR-664a
463,miR-200a
464,miR-577
465,miR-320d
466,miR-137
467,miR-20b-5p
468,miR-22
469,miR-202-3p
470,miR-186
471,miR-4677-3p
472,miR-545
473,miR-203a
474,miR-432-5p
475,miR-153
476,miR-185-5p
477,miR-150-5p
478,miR-487a-3p
479,miR-3064-5p
480,miR-542-3p
481,miR-18a
482,miR-129
483,miR-1224-3p
484,let-7a
485,miR-346
486,miR-1297
487,miR-3934-5p
488,miR-3194-3p
489,miR-590-5p
490,miR-329
491,miR-382-3p
492,miR-574
493,miR-4465
494,miR-454-3p
495,miR-2467-5p
496,miR-146b-5p
497,miR-450b-5p
498,miR-299-3p
499,miR-93
500,miR-331-3p
501,miR-34a-5p
502,miR-211-5p
503,miR-665
504,miR-645
505,miR-425-5p
506,miR-18a-3p
507,miR-107
508,miR-877-3p
509,hsa-let-7g-5p
510,miR-302d-3p
511,miR-655
512,miR-155
513,miR-144
514,miR-205-5p
515,miR-489-3p
516,miR-1179
517,let-7e-5p
518,miR-802
519,miR-214-5p
520,miR-26a
521,miR-506-3p
522,miR-3126-5p
523,miR-202-5p
524,miR-26b-5p
525,miR-1246
526,let-7e
527,miR-10a-5p
528,miR-138
529,miR-329-3p
530,let-7b
531,miR-335
532,miR-216
533,miR-203b-3p
534,miR-2054
535,miR-924
536,miR-377-3p
537,miR-519e-5p
538,miR-218
539,miR-140-5p
540,miR-520a-3p
541,miR-510-5p
542,miR-376a
543,miR-766-5p
544,miR-663b
545,miR-374
546,miR-526b-3p
547,miR-513a-5p
548,miR-377
549,miR-551b-3p
550,miR-152
551,miR-29a-5p
552,miR-124
553,miR-1193
554,miR-421
555,miR-16-2
556,miR-181b-5p
557,miR-217
558,miR-455-5p
559,miR-29b
560,miR-34a-3p
561,miR-130a-5p
562,miR-370-3p
563,miR-125b-2-3p
564,miR-761
565,let-7a-5p
566,miR-1225-3p
567,miR-194
568,miR-193a-5p
569,miR-5590-3p
570,miR-1271-5p
571,miR-1207-5p
572,miR-488
573,miR-24
574,miR-126-5p
575,miR-126
576,miR-548ar-3p
577,miR-96
578,miR-613
579,miR-130a-3p
580,miR-340-5p
581,miR-206
582,miR-136
583,miR-4319
584,Let-7i
585,miR-34c
586,miR-490
587,miR-188-3p
588,miR-4294
589,miR-195
590,miR-106b-5p
591,miR-944
592,miR-2355-3p
593,miR-181
594,miR-152-3p
595,miR-500a-3p
596,miR-29a
597,miR-363-5p
598,miR-29c
599,miR-103a
600,miR-9
601,miR-202
602,miR-485-3p
603,miR-199b
604,miR-367
605,miR-382
606,miR-3127-5p
607,miR-141-3p
608,miR-320
609,hsa-let-7b-5p
610,miR-23a
611,hsa-let-7a-5p
612,miR-544a
613,miR-483
614,miR-103a-3p
615,miR-221-3p
616,miR-132-3p
617,miR-185-3p
618,miR-30b
619,miR-106b
620,miR-17-5p
621,miR-15a-5p
622,miR-496
623,hsa-let-7c-5p
624,miR-122
625,miR-589-5p
626,miR-25-3p
627,miR-615-3p
628,miR-20b
